"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5028","8. Filtering products by price","chromium","Sun Apr 27 22:36:46 GMT 2025","passed","Sun Apr 27 22:36:51 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","4274","10. Click on the Sing In button","chromium","Sun Apr 27 22:36:58 GMT 2025","passed","Sun Apr 27 22:37:02 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","9343","1. Click on the payment information address","chromium","Sun Apr 27 22:35:42 GMT 2025","passed","Sun Apr 27 22:35:51 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","5946","3. Go to the manufacturer page","chromium","Sun Apr 27 22:36:20 GMT 2025","passed","Sun Apr 27 22:36:26 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","2578","6. Adding a comment to a product","chromium","Sun Apr 27 22:36:35 GMT 2025","passed","Sun Apr 27 22:36:38 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","13875","2. Adding payment information","chromium","Sun Apr 27 22:35:52 GMT 2025","passed","Sun Apr 27 22:36:06 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","4185","1. Go to product description page","chromium","Sun Apr 27 22:36:12 GMT 2025","passed","Sun Apr 27 22:36:16 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","8621","7. Changing the quantity of goods in the card","chromium","Sun Apr 27 22:36:38 GMT 2025","passed","Sun Apr 27 22:36:46 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","3618","2. Change currency in the product card","chromium","Sun Apr 27 22:36:16 GMT 2025","passed","Sun Apr 27 22:36:20 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","6356","9. Click on the total cost of goods","chromium","Sun Apr 27 22:36:51 GMT 2025","passed","Sun Apr 27 22:36:58 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","5047","5. Go to Hot Item page","chromium","Sun Apr 27 22:36:30 GMT 2025","passed","Sun Apr 27 22:36:35 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","6529","3. Password recovery","chromium","Sun Apr 27 22:36:06 GMT 2025","passed","Sun Apr 27 22:36:12 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","4199","4. Go to Twitter page","chromium","Sun Apr 27 22:36:26 GMT 2025","passed","Sun Apr 27 22:36:30 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
