"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5379","5. Go to Hot Item page","chromium","Mon Apr 28 07:06:43 GMT 2025","passed","Mon Apr 28 07:06:49 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","4399","4. Go to Twitter page","chromium","Mon Apr 28 07:06:39 GMT 2025","passed","Mon Apr 28 07:06:43 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","14094","2. Adding payment information","chromium","Mon Apr 28 07:05:59 GMT 2025","passed","Mon Apr 28 07:06:13 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","5348","10. Click on the Sing In button","chromium","Mon Apr 28 07:07:13 GMT 2025","passed","Mon Apr 28 07:07:18 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","3163","6. Adding a comment to a product","chromium","Mon Apr 28 07:06:49 GMT 2025","passed","Mon Apr 28 07:06:52 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","23827","1. Click on the payment information address","chromium","Mon Apr 28 07:05:35 GMT 2025","passed","Mon Apr 28 07:05:59 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","7919","7. Changing the quantity of goods in the card","chromium","Mon Apr 28 07:06:52 GMT 2025","passed","Mon Apr 28 07:07:00 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","4134","2. Change currency in the product card","chromium","Mon Apr 28 07:06:28 GMT 2025","passed","Mon Apr 28 07:06:32 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","6947","3. Go to the manufacturer page","chromium","Mon Apr 28 07:06:32 GMT 2025","passed","Mon Apr 28 07:06:39 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","4699","1. Go to product description page","chromium","Mon Apr 28 07:06:23 GMT 2025","passed","Mon Apr 28 07:06:28 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","5806","8. Filtering products by price","chromium","Mon Apr 28 07:07:00 GMT 2025","passed","Mon Apr 28 07:07:06 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","9878","3. Password recovery","chromium","Mon Apr 28 07:06:13 GMT 2025","passed","Mon Apr 28 07:06:23 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","7312","9. Click on the total cost of goods","chromium","Mon Apr 28 07:07:06 GMT 2025","passed","Mon Apr 28 07:07:13 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
